brand,models,color
Samsung,1067,#403684
LG,560,#8A8D8E
Nokia,441,#0097D5
Motorola,425,#000000
Alcatel,346,#000000
HTC,233,#97CB2F
Micromax,230,#F9C5A8
Celkon,229,#FF0000
Philips,218,#005AFF
Huawei,195,#E5B2B4
Sony Ericsson,188,#437056
ZTE,183,#235DAB
BLU,167,#7F7F7F
Lenovo,138,#003D7B
Sagem,120,#0000FF
Spice,120,#B5AF9F
Asus,117,#2A4364
Sony,111,#000000
verykool,104,#F89F49
Allview,94,#F7A0A4
Siemens,94,#00ABB5
Acer,93,#83B817
BlackBerry,83,#316C91
Plum,78,#ECB4B2
XOLO,78,#2F2B2C
Yezz,77,#000000
Panasonic,75,#000000
NEC,73,#000000
Pantech,72,#D8EDEE
Vodafone,71,#E52539
