launch_date,brand,model,height_mm,brand_color
2013-05-01,Spice,Mi-450 Smartflo Ivory,131.7,"rgba( 181 ,  175 ,  159 , 0.2)"
2013-05-01,Spice,Mi-422 Smartflo Pace,126,"rgba( 181 ,  175 ,  159 , 0.2)"
2013-05-01,Spice,Mi-353 Stellar Jazz,124.1,"rgba( 181 ,  175 ,  159 , 0.2)"
2013-05-01,Spice,Mi-725 Stellar Slatepad,194.4,"rgba( 181 ,  175 ,  159 , 0.2)"
2013-05-01,Spice,Mi-502 Smartflo Pace2,148,"rgba( 181 ,  175 ,  159 , 0.2)"
2013-05-01,Spice,Mi-535 Stellar Pinnacle Pro,152,"rgba( 181 ,  175 ,  159 , 0.2)"
2013-01-01,Spice,Mi-530 Stellar Pinnacle,152,"rgba( 181 ,  175 ,  159 , 0.2)"
2012-09-01,Spice,Mi-500 Stellar Horizon,143,"rgba( 181 ,  175 ,  159 , 0.2)"
2012-06-01,Spice,Mi-285 Stellar,116.5,"rgba( 181 ,  175 ,  159 , 0.2)"
2012-04-01,Spice,M-5665 T2,112.8,"rgba( 181 ,  175 ,  159 , 0.2)"
2012-09-01,Spice,M-5566 Flo Entertainer,104,"rgba( 181 ,  175 ,  159 , 0.2)"
2012-08-01,Spice,M-5900 Flo TV Pro,114,"rgba( 181 ,  175 ,  159 , 0.2)"
2012-06-01,Spice,M-6688 Flo Magic,111.7,"rgba( 181 ,  175 ,  159 , 0.2)"
2012-01-01,Spice,M-5460 Flo,96,"rgba( 181 ,  175 ,  159 , 0.2)"
2011-11-01,Spice,M-5455 Flo,93.6,"rgba( 181 ,  175 ,  159 , 0.2)"
2012-08-01,Spice,M-5365 Boss Killer,118,"rgba( 181 ,  175 ,  159 , 0.2)"
2012-09-01,Spice,M-5400 Boss TV,123,"rgba( 181 ,  175 ,  159 , 0.2)"
2012-08-01,Spice,M-5200 Boss Don,113,"rgba( 181 ,  175 ,  159 , 0.2)"
2012-08-01,Spice,M-5390 Boss Double XL,118.8,"rgba( 181 ,  175 ,  159 , 0.2)"
2012-06-01,Spice,M-5250 Boss Item,114.8,"rgba( 181 ,  175 ,  159 , 0.2)"
2012-06-01,Spice,M-5363 Boss,100,"rgba( 181 ,  175 ,  159 , 0.2)"
2012-08-01,Spice,Mi-355 Stellar Craze,118,"rgba( 181 ,  175 ,  159 , 0.2)"
2012-06-01,Spice,Mi-425 Stellar,125,"rgba( 181 ,  175 ,  159 , 0.2)"
2012-04-01,Spice,M-6868N FLO ME,116,"rgba( 181 ,  175 ,  159 , 0.2)"
2012-04-01,Spice,M-5600 FLO TV,112.8,"rgba( 181 ,  175 ,  159 , 0.2)"
2012-02-01,Spice,Mi-280,105.5,"rgba( 181 ,  175 ,  159 , 0.2)"
2011-07-01,Spice,Mi-350,118,"rgba( 181 ,  175 ,  159 , 0.2)"
2011-01-01,Spice,M-6900 Knight,116,"rgba( 181 ,  175 ,  159 , 0.2)"
2011-01-01,Spice,M-6868,114.5,"rgba( 181 ,  175 ,  159 , 0.2)"
2011-01-01,Spice,M-6700,111,"rgba( 181 ,  175 ,  159 , 0.2)"
2011-01-01,Spice,M-9000 Popkorn,119.2,"rgba( 181 ,  175 ,  159 , 0.2)"
2011-01-01,Spice,M-6450,114,"rgba( 181 ,  175 ,  159 , 0.2)"
2011-01-01,Spice,M-5750,112,"rgba( 181 ,  175 ,  159 , 0.2)"
2011-01-01,Spice,M-5350,104.8,"rgba( 181 ,  175 ,  159 , 0.2)"
2011-01-01,Spice,M-5180,105.7,"rgba( 181 ,  175 ,  159 , 0.2)"
2011-04-01,Spice,Mi-720,200,"rgba( 181 ,  175 ,  159 , 0.2)"
2011-04-01,Spice,Mi-410,122,"rgba( 181 ,  175 ,  159 , 0.2)"
2011-05-01,Spice,M-6800 FLO,107.8,"rgba( 181 ,  175 ,  159 , 0.2)"
2011-05-01,Spice,Mi-270,104,"rgba( 181 ,  175 ,  159 , 0.2)"
2011-04-01,Spice,Mi-310,116,"rgba( 181 ,  175 ,  159 , 0.2)"
2010-01-01,Spice,M-4250,110,"rgba( 181 ,  175 ,  159 , 0.2)"
2010-01-01,Spice,M-5170,111,"rgba( 181 ,  175 ,  159 , 0.2)"
2010-01-01,Spice,QT-65,112,"rgba( 181 ,  175 ,  159 , 0.2)"
2010-01-01,Spice,M-5262,115,"rgba( 181 ,  175 ,  159 , 0.2)"
2010-01-01,Spice,QT-58,99,"rgba( 181 ,  175 ,  159 , 0.2)"
2010-01-01,Spice,QT-61,108.5,"rgba( 181 ,  175 ,  159 , 0.2)"
2010-01-01,Spice,M-5454,114,"rgba( 181 ,  175 ,  159 , 0.2)"
2010-01-01,Spice,M-5161n,110,"rgba( 181 ,  175 ,  159 , 0.2)"
2010-01-01,Spice,QT-95,111,"rgba( 181 ,  175 ,  159 , 0.2)"
2010-01-01,Spice,M-67 3D,115,"rgba( 181 ,  175 ,  159 , 0.2)"
2010-01-01,Spice,QT-68,111,"rgba( 181 ,  175 ,  159 , 0.2)"
2010-09-01,Spice,M-4580n,105.3,"rgba( 181 ,  175 ,  159 , 0.2)"
2010-08-01,Spice,Mi-300,114.9,"rgba( 181 ,  175 ,  159 , 0.2)"
2010-08-01,Spice,M-6 Sports,112.9,"rgba( 181 ,  175 ,  159 , 0.2)"
2010-08-01,Spice,M-6363,107,"rgba( 181 ,  175 ,  159 , 0.2)"
2010-08-01,Spice,QT-56,113.4,"rgba( 181 ,  175 ,  159 , 0.2)"
2010-09-01,Spice,G-6565,115.6,"rgba( 181 ,  175 ,  159 , 0.2)"
2010-07-01,Spice,QT-52,111.8,"rgba( 181 ,  175 ,  159 , 0.2)"
2010-06-01,Spice,QT-60,111,"rgba( 181 ,  175 ,  159 , 0.2)"
2010-06-01,Spice,M-5055,104.1,"rgba( 181 ,  175 ,  159 , 0.2)"
2010-06-01,Spice,S-7000,108,"rgba( 181 ,  175 ,  159 , 0.2)"
2010-05-01,Spice,QT-50,110,"rgba( 181 ,  175 ,  159 , 0.2)"
2010-01-01,Spice,M-6262,113,"rgba( 181 ,  175 ,  159 , 0.2)"
2010-01-01,Spice,S-1200,114,"rgba( 181 ,  175 ,  159 , 0.2)"
2010-01-01,Spice,M-4242,110.8,"rgba( 181 ,  175 ,  159 , 0.2)"
2010-01-01,Spice,M-940n,115,"rgba( 181 ,  175 ,  159 , 0.2)"
2010-01-01,Spice,S-5010,110,"rgba( 181 ,  175 ,  159 , 0.2)"
2010-01-01,Spice,D-6666,115,"rgba( 181 ,  175 ,  159 , 0.2)"
2010-01-01,Spice,M 4580,106,"rgba( 181 ,  175 ,  159 , 0.2)"
2010-01-01,Spice,S-5110,107,"rgba( 181 ,  175 ,  159 , 0.2)"
2010-01-01,Spice,S-5420,112,"rgba( 181 ,  175 ,  159 , 0.2)"
2010-01-01,Spice,S-6005,116.5,"rgba( 181 ,  175 ,  159 , 0.2)"
2010-01-01,Spice,D-1111,110.8,"rgba( 181 ,  175 ,  159 , 0.2)"
2010-09-01,Spice,KT-5353,112.9,"rgba( 181 ,  175 ,  159 , 0.2)"
2014-07-01,Spice,Smart Pulse (M-9010),53.7,"rgba( 181 ,  175 ,  159 , 0.2)"
2014-08-01,Spice,Fire One (Mi-FX-1),115.6,"rgba( 181 ,  175 ,  159 , 0.2)"
2014-08-01,Spice,N-300,150.4,"rgba( 181 ,  175 ,  159 , 0.2)"
2014-08-01,Spice,Smart Flo 508 (Mi-508),150.4,"rgba( 181 ,  175 ,  159 , 0.2)"
2014-08-01,Spice,Smart Flo 503 (Mi-503),150.4,"rgba( 181 ,  175 ,  159 , 0.2)"
2014-08-01,Spice,Smart Flo 359 (Mi-359),117.5,"rgba( 181 ,  175 ,  159 , 0.2)"
2014-10-01,Spice,Smart Flo 358 (Mi-358),118,"rgba( 181 ,  175 ,  159 , 0.2)"
2014-08-01,Spice,Stellar 439 (Mi-439),125,"rgba( 181 ,  175 ,  159 , 0.2)"
2014-07-01,Spice,Stellar 361 (Mi-361),115.3,"rgba( 181 ,  175 ,  159 , 0.2)"
2014-08-01,Spice,Stellar 507 (Mi-507),145.2,"rgba( 181 ,  175 ,  159 , 0.2)"
2014-05-01,Spice,Stellar 509 (Mi-509),145,"rgba( 181 ,  175 ,  159 , 0.2)"
2014-07-01,Spice,Stellar 526 (Mi-526),143.6,"rgba( 181 ,  175 ,  159 , 0.2)"
2014-07-01,Spice,Stellar 520 (Mi-520),145,"rgba( 181 ,  175 ,  159 , 0.2)"
2014-12-01,Spice,Stellar 520n (Mi-520n),145,"rgba( 181 ,  175 ,  159 , 0.2)"
2014-12-01,Spice,Stellar 440 (Mi-440),127.6,"rgba( 181 ,  175 ,  159 , 0.2)"
2014-10-01,Spice,Stellar 470 (Mi-470),137.8,"rgba( 181 ,  175 ,  159 , 0.2)"
2014-09-01,Spice,Mi-498 Dream Uno,132,"rgba( 181 ,  175 ,  159 , 0.2)"
2014-03-01,Spice,Mi-506 Stellar Mettle Icon,145,"rgba( 181 ,  175 ,  159 , 0.2)"
2014-01-01,Spice,Mi-356 Smart Flo Mettle 3.5X,119.9,"rgba( 181 ,  175 ,  159 , 0.2)"
2014-01-01,Spice,Mi-426 Smart Flo Mettle 4.0X,119.9,"rgba( 181 ,  175 ,  159 , 0.2)"
2014-04-01,Spice,Mi-438 Stellar Glide,145,"rgba( 181 ,  175 ,  159 , 0.2)"
2014-02-01,Spice,Mi-504 Smart Flo Mettle 5X,148.5,"rgba( 181 ,  175 ,  159 , 0.2)"
2014-02-01,Spice,Mi-451 Smartflo Poise,134.5,"rgba( 181 ,  175 ,  159 , 0.2)"
2013-09-01,Spice,Mi-423 Smart Flo Ivory 2,126.3,"rgba( 181 ,  175 ,  159 , 0.2)"
2013-09-01,Spice,Mi-349 Smart Flo Edge,117,"rgba( 181 ,  175 ,  159 , 0.2)"
2013-08-01,Spice,Mi-436 Stellar Glamour,125,"rgba( 181 ,  175 ,  159 , 0.2)"
2013-08-01,Spice,Mi-354 Smartflo Space,118.2,"rgba( 181 ,  175 ,  159 , 0.2)"
2013-06-01,Spice,Mi-525 Pinnacle FHD,149.4,"rgba( 181 ,  175 ,  159 , 0.2)"
2013-06-01,Spice,Mi-515 Coolpad,140,"rgba( 181 ,  175 ,  159 , 0.2)"
2013-06-01,Spice,Mi-510 Stellar Prime,145,"rgba( 181 ,  175 ,  159 , 0.2)"
2013-05-01,Spice,Mi-505 Stellar Horizon Pro,148,"rgba( 181 ,  175 ,  159 , 0.2)"
2013-06-01,Spice,Mi-491 Stellar Virtuoso Pro,135,"rgba( 181 ,  175 ,  159 , 0.2)"
2007-01-01,Benefon,TWIG Discovery Pro,116,"rgba( 0 ,  0 ,  0 , 0.2)"
2006-06-01,Benefon,TWIG Discovery,116,"rgba( 0 ,  0 ,  0 , 0.2)"
2007-01-01,Amoi,E860,112,"rgba( 0 ,  138 ,  181 , 0.2)"
2007-01-01,Amoi,E78,115,"rgba( 0 ,  138 ,  181 , 0.2)"
2007-01-01,Amoi,E76,100,"rgba( 0 ,  138 ,  181 , 0.2)"
2007-01-01,Amoi,E72,100,"rgba( 0 ,  138 ,  181 , 0.2)"
2007-01-01,Amoi,WMA8701A,109.4,"rgba( 0 ,  138 ,  181 , 0.2)"
2007-01-01,Amoi,WMA8703,109.4,"rgba( 0 ,  138 ,  181 , 0.2)"
2007-08-01,Amoi,WMA8508,95,"rgba( 0 ,  138 ,  181 , 0.2)"
2007-01-01,Amoi,CMA8170,92.5,"rgba( 0 ,  138 ,  181 , 0.2)"
2007-07-01,Amoi,M33,106,"rgba( 0 ,  138 ,  181 , 0.2)"
2007-01-01,Amoi,A203,101,"rgba( 0 ,  138 ,  181 , 0.2)"
2007-01-01,Amoi,A200,82,"rgba( 0 ,  138 ,  181 , 0.2)"
2007-01-01,Amoi,A102,85.5,"rgba( 0 ,  138 ,  181 , 0.2)"
