"created_at","progress","type","count"
"2020-01-04","1%","Favorites","29516"
"2020-01-08","2%","Favorites","16492"
"2020-01-12","3%","Favorites","12854"
"2020-01-15","4%","Favorites","10678"
"2020-01-19","5%","Favorites","17403"
"2020-01-23","6%","Favorites","9048"
"2020-01-26","7%","Favorites","9225"
"2020-01-30","8%","Favorites","8243"
"2020-02-02","9%","Favorites","9785"
"2020-02-06","10%","Favorites","22282"
"2020-02-10","11%","Favorites","8953"
"2020-02-13","12%","Favorites","8395"
"2020-02-17","13%","Favorites","8926"
"2020-02-21","14%","Favorites","8136"
"2020-02-24","15%","Favorites","10308"
"2020-02-28","16%","Favorites","7520"
"2020-03-03","17%","Favorites","8496"
"2020-03-06","18%","Favorites","7859"
"2020-03-10","19%","Favorites","8434"
"2020-03-14","20%","Favorites","12788"
"2020-03-17","21%","Favorites","7091"
"2020-03-21","22%","Favorites","7650"
"2020-03-25","23%","Favorites","8902"
"2020-03-28","24%","Favorites","9253"
"2020-04-01","25%","Favorites","16103"
"2020-04-05","26%","Favorites","8879"
"2020-04-08","27%","Favorites","7463"
"2020-04-12","28%","Favorites","7454"
"2020-04-16","29%","Favorites","7094"
"2020-04-19","30%","Favorites","10706"
"2020-04-23","31%","Favorites","7471"
"2020-04-27","32%","Favorites","6811"
"2020-04-30","33%","Favorites","8889"
"2020-05-04","34%","Favorites","6797"
"2020-05-08","35%","Favorites","6829"
"2020-05-11","36%","Favorites","6107"
"2020-05-15","37%","Favorites","6596"
"2020-05-19","38%","Favorites","6531"
"2020-05-22","39%","Favorites","6490"
"2020-05-26","40%","Favorites","9940"
"2020-05-30","41%","Favorites","8526"
"2020-06-02","42%","Favorites","9515"
"2020-06-06","43%","Favorites","8132"
"2020-06-10","44%","Favorites","8688"
"2020-06-13","45%","Favorites","9610"
"2020-06-17","46%","Favorites","7417"
"2020-06-21","47%","Favorites","8622"
"2020-06-24","48%","Favorites","8043"
"2020-06-28","49%","Favorites","13615"
"2020-07-02","50%","Favorites","84953"
"2020-07-05","51%","Favorites","11098"
"2020-07-09","52%","Favorites","7798"
"2020-07-13","53%","Favorites","9314"
"2020-07-16","54%","Favorites","7517"
"2020-07-20","55%","Favorites","8707"
"2020-07-24","56%","Favorites","7452"
"2020-07-27","57%","Favorites","8024"
"2020-07-31","58%","Favorites","8084"
"2020-08-03","59%","Favorites","8196"
"2020-08-07","60%","Favorites","12632"
"2020-08-11","61%","Favorites","8562"
"2020-08-14","62%","Favorites","9259"
"2020-08-18","63%","Favorites","8347"
"2020-08-22","64%","Favorites","9673"
"2020-08-25","65%","Favorites","9169"
"2020-08-29","66%","Favorites","10985"
"2020-09-02","67%","Favorites","9662"
"2020-09-05","68%","Favorites","10471"
"2020-09-09","69%","Favorites","168476"
"2020-09-13","70%","Favorites","18685"
"2020-09-16","71%","Favorites","10511"
"2020-09-20","72%","Favorites","10911"
"2020-09-24","73%","Favorites","9961"
"2020-09-27","74%","Favorites","11271"
"2020-10-01","75%","Favorites","16769"
"2020-10-05","76%","Favorites","10823"
"2020-10-08","77%","Favorites","9893"
"2020-10-12","78%","Favorites","13417"
"2020-10-16","79%","Favorites","11441"
"2020-10-19","80%","Favorites","20850"
"2020-10-23","81%","Favorites","9547"
"2020-10-27","82%","Favorites","9580"
"2020-10-30","83%","Favorites","8879"
"2020-11-03","84%","Favorites","10498"
"2020-11-07","85%","Favorites","13149"
"2020-11-10","86%","Favorites","9382"
"2020-11-14","87%","Favorites","11356"
"2020-11-18","88%","Favorites","10682"
"2020-11-21","89%","Favorites","9313"
"2020-11-25","90%","Favorites","28992"
"2020-11-29","91%","Favorites","16430"
"2020-12-02","92%","Favorites","15381"
"2020-12-06","93%","Favorites","16421"
"2020-12-10","94%","Favorites","13271"
"2020-12-13","95%","Favorites","23827"
"2020-12-17","96%","Favorites","15742"
"2020-12-21","97%","Favorites","25537"
"2020-12-24","98%","Favorites","50075"
"2020-12-28","99%","Favorites","112270"
"2021-01-01","0%","Favorites","139996"
"2020-01-04","1%","Retweets","5301"
