"emoji","favorite_count","retweet_count"
"➕","369","80"
"⚽","112","22"
"‼️","21","15"
"⬜","29","84"
"⏳","11","6"
"⤵️","16","7"
"⬇️","16","7"
"▶️","300","69"
"➡️","396","81"
"☀️","27","5"
"☎️","1","2"
"☺️","5","3"
"♥️","56","22"
"✂️","381","60"
"✌️","19","5"
"✍🏼","343","91"
"❎","19","3"
"❓","265","200"
"❤️","1037","117"
"✅","119","13"
"✨","69","23"
"☔","40","8"
"☕","832","184"
"⚠️","26","3"
"⚡","39","35"
"⚒️","5","4"
"⛈️","29","4"
"⭐","19","8"
"🇫🇷","1","2"
"🇬🇧","49","53"
"🇲🇦","5","3"
"🇵🇭","2","2"
"🌍","1","1"
"🌎","1","1"
"🌏","1","1"
"🌐","343","91"
"🌓","5","2"
"🌞","7","3"
"🌟","6726","1363"
"🌰","5","2"
"🌽","5","4"
"🍃","10","4"
"🍎","47","5"
"🎁","2","5"
"🎄","228","79"
"🎅","15","4"
"🎉","2795","303"
"🎓","62","7"
"🎙️","3","5"
"🎟️","11","5"
"🎨","221","34"
"🎯","790","342"
"🎵","2","2"
"🎶","4","3"
"🏃","5","2"
"🏆","8","14"
"🏫","7","2"
"🐈","264","48"
"🐍","30","29"
"🐘","15","5"
"🐦","3","5"
"👀","2479","687"
"👇","860","264"
"👇🏻","36","8"
"👇🏼","2","3"
"👇🏽","12","9"
"👉","2007","605"
"👉🏽","4","2"
"👋","14","14"
"👋🏿","4","2"
"👌","176","97"
"👍","27","7"
"👍🏼","1","1"
"👏","553","94"
"👚","1","2"
"👤","93","24"
"👧🏽","262","8"
"👨‍🌾","5","4"
"👨🏽‍💻","9","9"
"👨‍💻","658","330"
"👩‍🏫","23","12"
"👩🏽","262","8"
"👩‍💻","14","14"
"👶🏽","131","4"
"👻","1278","204"
"💙","321","63"
"💚","19","2"
"💜","81","21"
"💡","151","50"
"💥","141","48"
"💧","5","2"
"💪","19","5"
"💯","10","23"
"💰","15","7"
"💻","118","37"
"📀","3","5"
"📁","32","10"
"📅","237","43"
"📆","6","8"
"📈","372","156"
"📊","781","312"
"📌","46","43"
"📍","158","32"
"📔","7","2"
"📖","3362","681"
"📘","41","21"
"📚","747","222"
"📜","15","7"
"📝","211","105"
"📢","211","44"
"📣","201","62"
"📤","11","5"
"📥","11","5"
"📦","1514","444"
"📩","22","6"
"📮","3","5"
"📰","32","10"
"📹","28","11"
"📺","81","80"
"🔁","17","14"
"🔑","10","7"
"🔗","3477","1166"
"🔝","12","8"
"🔤","5","2"
"🔥","311","259"
"🔨","10","6"
"🔶","37","11"
"🔷","37","11"
"🔸","37","11"
"🔹","37","11"
"🕎","7","5"
"🖼️","141","36"
"🗞️","7","2"
"🗣️","11","5"
"🗺️","684","168"
"😀","29","16"
"😂","28","12"
"😃","1","1"
"😄","195","105"
"😅","73","23"
"😉","466","92"
"😊","209","104"
"😋","1","3"
"😍","281","45"
"😎","116","25"
"😜","74","8"
"😢","28","2"
"😥","4","2"
"😩","396","51"
"😪","8","2"
"😭","14","11"
"😮","14","4"
"😲","3","1"
"🙂","240","61"
"🙃","195","105"
"🙇","26","7"
"🙈","149","28"
"🙋","3","5"
"🙋🏽","262","8"
"🙋🏽‍♀️","524","16"
"🙋🏽‍♂️","262","8"
"🙌","349","58"
"🙏","33","25"
"🚀","343","136"
"🚂","5","2"
"🚜","5","4"
"🚨","272","71"
"🚬","832","184"
"🛠️","5","2"
"🤓","30","5"
"🤔","265","56"
"🤖","126","88"
"🤗","13","5"
"🤣","38","8"
"🤦","6","4"
"🤩","536","148"
"🤪","5","2"
"🤯","295","52"
"🤷‍♂️","71","6"
"🥁","19","5"
"🥂","11","2"
"🥞","13","3"
"🥰","5","4"
"🥳","783","132"
"🥴","473","151"
"🧐","3","2"
"🧑","51","21"
"🧑🏾","7","2"
"🧠","1868","451"
"🧡","19","2"
"🧩","3","3"
"🧪","44","13"
"🧬","6","4"
"🧰","3","5"
"🧵","698","135"
"🧹","47","14"
