"emoji","n"
"🔥","201"
"🔗","123"
"📦","57"
"👇","51"
"👉","48"
"📺","48"
"⬜","40"
"⏩","35"
"🤖","28"
"🇬🇧","27"
"📝","27"
"👨‍💻","21"
"🌟","17"
"📈","17"
"♥️","15"
"🚀","15"
"🐍","13"
"💻","13"
"▶️","12"
"🎄","12"
"🎉","11"
"🎯","11"
"👀","11"
"💡","11"
"💯","11"
"📌","11"
"🔁","11"
"🧵","11"
"😊","10"
"🙏","10"
"➡️","9"
"📊","9"
"🔑","9"
"❤️","8"
"👌","8"
"📖","8"
"🚨","8"
"➕","7"
"✨","7"
"1️⃣","7"
"2️⃣","7"
"3️⃣","7"
"💉","7"
"😄","7"
"🙃","7"
"🤔","7"
"🤩","7"
"✍🏼","6"
"❓","6"
"🌐","6"
"👻","6"
"📚","6"
"🥳","6"
"🧑","6"
"✅","5"
"📣","5"
"🗺️","5"
"😂","5"
"😍","5"
"🧠","5"
"⬇️","4"
"🏆","4"
"👇🏻","4"
"👋","4"
"👏","4"
"💜","4"
"💥","4"
"📢","4"
"📹","4"
"😉","4"
"😭","4"
"🙋🏽‍♀️","4"
"🙌","4"
"🤯","4"
"🥰","4"
"🎁","3"
"🎨","3"
"👍","3"
"👩‍💻","3"
"💙","3"
"😀","3"
"😅","3"
"😎","3"
"🤓","3"
"🤣","3"
"✂️","2"
"🍃","2"
"🎓","2"
"🐘","2"
"👇🏽","2"
"👧🏽","2"
"👨🏽‍💻","2"
"👩🏽","2"
"💪","2"
"💰","2"
"📅","2"
"📆","2"
"📍","2"
"📜","2"
"🖼️","2"
"😔","2"
"😜","2"
"😥","2"
"😲","2"
"🙈","2"
"🙋🏽","2"
"🙋🏽‍♂️","2"
"🧪","2"
"⚽","1"
"‼️","1"
"⏳","1"
"⤵️","1"
"☀️","1"
"☁️","1"
"☎️","1"
"☺️","1"
"✌️","1"
"❎","1"
"☔","1"
"☕","1"
"⚠️","1"
"⚡","1"
"⚒️","1"
"⛈️","1"
"⭐","1"
"5️⃣","1"
"🇪🇸","1"
"🇫🇷","1"
"🇲🇦","1"
"🇵🇭","1"
"🌍","1"
"🌎","1"
"🌏","1"
"🌓","1"
"🌞","1"
"🌰","1"
"🌽","1"
"🍎","1"
"🎅","1"
"🎙️","1"
"🎟️","1"
"🎵","1"
"🎶","1"
"🏃","1"
"🏫","1"
"🐈","1"
"🐐","1"
"🐦","1"
"👇🏼","1"
"👉🏽","1"
"👋🏿","1"
"👍🏼","1"
"👚","1"
"👤","1"
"👨‍🌾","1"
"👩‍🏫","1"
"👶🏽","1"
"💚","1"
"💧","1"
"📀","1"
"📁","1"
"📔","1"
"📘","1"
"📤","1"
"📥","1"
"📩","1"
"📮","1"
"📰","1"
"🔖","1"
"🔝","1"
"🔤","1"
"🔧","1"
"🔨","1"
"🔶","1"
"🔷","1"
"🔸","1"
"🔹","1"
"🕎","1"
"🗞️","1"
"🗣️","1"
"🗾","1"
"😃","1"
"😋","1"
"😢","1"
"😩","1"
"😪","1"
"😮","1"
"🙂","1"
"🙇","1"
"🙋","1"
"🚂","1"
"🚜","1"
"🚬","1"
"🛠️","1"
"🤗","1"
"🤦","1"
"🤪","1"
"🤷‍♂️","1"
"🥁","1"
"🥂","1"
"🥞","1"
"🥴","1"
"🧐","1"
"🧑🏾","1"
"🧡","1"
"🧩","1"
"🧬","1"
"🧰","1"
"🧹","1"
